Municipality,DEWA ,KHDA,Police,DESC,Dubai Land,MBRHE (Housing),GDRFAD (Residency),DCD,CDA,RTA,DHA
Application for Soil Treatment,Bill Payment,Parent - School Contract,Criminal Status of Financial Cases,Trust Services,Al Ansari Exchange Branch Location,Apply for Housing Replacement Grant,Visa extension,Supply Installation Certificate,Periodic Benefits,Use nol Cards,Headache Clinic
Application for Verification and Attestation,Activation of Electricity/Water (Move-in),Parent - Early Childhood Centre Contract,eCrime,Cyber Security Polices & Regulations,Licensed real estate developers,Apply for Housing Maintenance and Addition Grant,Visa Cancelation,Safety Certificate (Building/ Unit Owner),Preparing House,Top Up nol Cards,Neonatology services
Apply for "To Whom it May Concern" Certificate related to building issues,Attending Technical Notifications – Electricity/Water (Smart Response),Education Providers Services,Tourist Police,Training & Support for ISR Implementation,Accredited real estate evaluation companies,Apply for housing land,Issuance of a work visa,Completion Certificate (Owner),Temporary Housing,Refund nol Cards Balance,Pediatric Endocrinology services
Apply for Approval for Interior Design of a Building in the Historical Areas,Track Requests with login,School Certificate Attestation,Report Bounced Cheques - Banks,Security Systems Consultation,Awards,Apply for housing grant,Issuance of a visit visa,Dry Riser Inspection,Financial Benefits for POD,Manage nol Cards,General pediatrics services
Apply for Approval of Public and Private Swimming Pool Drawings,DEWA Service Guide,Employee Services,Diplomatic Service,Cyber Security Awareness & Education,Approved financial (accounts) auditors,Apply for Housing construction grant,Issuance of a Residency visa,Safety Certificate (Free Zone Companies),Family Consultation,Purchase Travel Pass,Wellness Service
Apply for Building Technical Study,Customer Happiness Charter,Inspectors Services,Police Report Inquiry,Incidence Response,Approved escrow account trustees,Apply for apartment grant,Issuance of green visa,Building Renew,Embrace Program,Renew Travel Pass,Genitourinary Medicine Clinic
Apply for Bulk Waste Collection,Activation of Electricity/Water (Move-in),e-Feedback System,File Criminal Complaint,Penetration Testing,Accredited surveying companies,Apply for a housing construction request on a relative’s land,Temporary Work Permit,Preventive Inspection Service for Licensing,Human Rights Complaint,Purchase nol Card,Anasthsiology services
Apply for Calibration of Instruments and Equipment,Deactivation of Electricity/Water (Move-out),Educators Permit System,Bounce Cheque Report,Certificate Issuance Services,DLD Document Vault,Selling a ready-made house owned by the Establishment,Sponsorship File (individual),Final Completion Certificate,Thukhor Card,Apply for a Personal nol Card,Out Patient-Thalassemia and major Haemoglo...
Apply for Chalet Rental in Al Mamzar Park,Transfer of Electricity/Water (Move-to),,Victim Support,Network Security Gauge,Download Ejari Certificate,Apply for Housing Replacement Loan,Golden Residency,Request for Annual Maintenance Contracts Approval,Home Care Request-Waleef,Apply for Renewing or Replacing Personal nol Card,Day Care -Thalassemia and major Hemoglobin...
Apply for Changing a Consultant Before building permit Issuance,Getting Electricity Supply for Tents,,HQ Entry Permit,,E-executive deed,Apply for Housing Maintenance and Addition Loan,Status Adjustment,Request for subscription in the comprehensive safety program.,Care Giver Rehabilitation,e-Wallet Usage,Radiology
